pair,partnership_runs
Abishek Porel & DA Warner,20
AS Raut & DH Yagnik,20
MN Samuels & SS Iyer,20
KK Nair & V Kohli,20
PK Garg & WP Saha,20
KH Pandya & RD Chahar,20
AB McDonald & AB de Villiers,20
B Chipli & CL White,20
AJ Finch & Ishan Kishan,20
Harpreet Brar & R Ashwin,20
Harbhajan Singh & Z Khan,20
I Sharma & SC Ganguly,20
MA Agarwal & Mandeep Singh,20
DPMD Jayawardene & VVS Laxman,20
MM Sharma & WP Saha,20
AS Yadav & SB Bangar,20
KJ Abbott & SE Marsh,20
MA Agarwal & SS Tiwary,20
AA Bilakhia & RJ Harris,20
DJ Harris & PA Patel,20
AD Russell & P Negi,20
PP Chawla & R Sathish,20
KD Karthik & MG Johnson,20
PBB Rajapaksa & SM Curran,20
DJ Bravo & SS Tiwary,20
K Rabada & RR Pant,20
D Salunkhe & RA Jadeja,20
AB de Villiers & DT Christian,20
AJ Finch & DJG Sammy,20
Abdul Samad & RA Tripathi,19
MEK Hussey & PA Patel,19
AB de Villiers & JJ van der Wath,19
J Suchith & KS Williamson,19
N Rana & Rahmanullah Gurbaz,19
SPD Smith & TL Suman,19
RV Patel & SO Hetmyer,19
AB Agarkar & MN van Wyk,19
AM Rahane & JA Morkel,19
JP Duminy & PA Reddy,19
TR Birt & Y Venugopal Rao,19
MK Pandey & Rashid Khan,19
K Gowtham & Mohammed Shami,19
AR Patel & SE Marsh,19
A Mishra & TA Boult,19
MF Maharoof & VY Mahesh,19
Mohammed Shami & P Negi,19
A Mithun & SS Tiwary,19
B Laughlin & RA Jadeja,19
RJ Peterson & SR Tendulkar,19
JDP Oram & SK Raina,19
Anureet Singh & WP Saha,19
LS Livingstone & OF Smith,19
AJ Finch & DS Kulkarni,19
P Kumar & R McLaren,19
RR Raje & SM Pollock,19
AT Carey & MP Stoinis,19
Umar Gul & WP Saha,19
SA Yadav & SP Narine,19
DA Warner & J Botha,19
Harbhajan Singh & ST Jayasuriya,19
Basil Thampi & P Kumar,19
EJG Morgan & Mohammed Shami,19
Rashid Khan & S Nadeem,19
DJ Hooda & Harpreet Brar,19
CH Morris & SR Watson,19
R Parag & VR Aaron,19
R Sai Kishore & Rashid Khan,19
CA Pujara & WP Saha,19
CA Ingram & DA Warner,19
CH Gayle & DA Miller,19
SK Warne & Sohail Tanvir,19
DJ Hussey & Mohammad Hafeez,19
D Salunkhe & SK Trivedi,19
GJ Maxwell & RG Sharma,19
Harpreet Brar & MA Agarwal,19
LS Livingstone & PBB Rajapaksa,18
KD Karthik & PP Chawla,18
A Manohar & B Sai Sudharsan,18
JM Bairstow & SM Curran,18
RV Uthappa & SD Chitnis,18
DR Sams & RG Sharma,18
KV Sharma & Mohammed Siraj,18
HR Shokeen & TH David,18
AM Rahane & H Klaasen,18
Mohsin Khan & PVD Chameera,18
DL Vettori & KD Karthik,18
JC Buttler & S Gopal,18
CH Morris & R Parag,18
CV Varun & PJ Cummins,18
HV Patel & Mohammed Siraj,18
Anuj Rawat & Vijaykumar Vyshak,18
DG Nalkande & V Shankar,18
MJ Guptill & SE Marsh,18
CK Langeveldt & S Aravind,18
KK Nair & MM Sharma,18
MS Dhoni & SB Jakati,18
JC Archer & JD Unadkat,18
Anmolpreet Singh & Q de Kock,18
JD Unadkat & KA Pollard,18
N Rana & PD Salt,18
MS Dhoni & RA Tripathi,18
R Ashwin & R Bhatia,18
TR Birt & Y Nagar,18
N Pooran & SA Abbott,18
Gurkeerat Singh & PP Chawla,18
RD Gaikwad & SM Curran,18
BA Bhatt & PP Chawla,18
SP Jackson & YK Pathan,18
J Botha & MC Juneja,18
SMSM Senanayake & SP Narine,18
J Botha & SA Yadav,18
RR Powar & S Sreesanth,18
DA Warner & Virat Singh,18
M Manhas & MR Marsh,18
AM Nayar & PC Valthaty,18
PA Patel & S Rana,18
MK Tiwary & Washington Sundar,18
AA Jhunjhunwala & FY Fazal,18
JE Taylor & Yuvraj Singh,18
KA Pollard & MEK Hussey,18
SB Bangar & SC Ganguly,18
D Salunkhe & SK Warne,18
KA Pollard & TL Suman,18
KR Mayers & M Vohra,18
M Morkel & Y Nagar,18
AR Patel & VR Aaron,18
AP Majumdar & SPD Smith,18
OC McCoy & R Parag,18
MK Tiwary & S Kaul,18
MK Pandey & PP Chawla,18
JDS Neesham & S Nadeem,18
AR Patel & Anureet Singh,18
AR Patel & GJ Maxwell,17
RG Sharma & TH David,17
Lalit Yadav & MP Stoinis,17
B Chipli & DPMD Jayawardene,17
E Lewis & KA Pollard,17
LS Livingstone & RD Chahar,17
A Choudhary & YS Chahal,17
Harpreet Brar & LS Livingstone,17
AJ Finch & JP Faulkner,17
DA Warner & Y Nagar,17
B Kumar & KV Sharma,17
DW Steyn & JP Duminy,17
RN ten Doeschate & RV Uthappa,17
AD Mathews & M Rawat,17
DS Kulkarni & RR Raje,17
Ramandeep Singh & SA Yadav,17
NV Ojha & V Shankar,17
RE van der Merwe & V Sehwag,17
BCJ Cutting & DJ Hooda,17
JD Unadkat & TK Curran,17
M Rawat & SK Warne,17
Mujeeb Ur Rahman & R Ashwin,17
M Manhas & MS Dhoni,17
R Parag & STR Binny,17
S Badrinath & SP Fleming,17
JJ Roy & Mandeep Singh,17
SP Narine & UT Yadav,17
KD Karthik & Saurav Chauhan,17
KD Karthik & R Bhatia,17
Harbhajan Singh & PP Ojha,17
SK Raina & SW Billings,17
KK Cooper & KK Nair,17
IK Pathan & MS Dhoni,17
Kuldeep Yadav & MG Johnson,17
A Nortje & SN Thakur,17
AD Russell & R Sathish,17
H Klaasen & SV Samson,17
FY Fazal & R Dravid,17
PP Chawla & TK Curran,17
AM Nayar & Gurkeerat Singh,17
P Dogra & SW Tait,17
SN Khan & TG Southee,17
A Ashish Reddy & MC Henriques,17
MA Starc & V Kohli,17
HM Amla & MP Stoinis,17
SL Malinga & Z Khan,17
MC Henriques & R Vinay Kumar,17
DA Miller & P Kumar,17
HV Patel & Harpreet Brar,17
KM Jadhav & MK Tiwary,17
R Ashwin & S Badrinath,17
HE van der Dussen & SO Hetmyer,17
B Sumanth & R Sharma,17
CJ Anderson & KK Nair,17
C Green & GJ Maxwell,17
K Rabada & M Shahrukh Khan,17
Bipul Sharma & P Kumar,17
RK Bhui & RR Pant,17
R Dravid & R Vinay Kumar,17
AB Agarkar & CA Pujara,17
RK Singh & SP Jackson,17
MEK Hussey & RA Jadeja,17
DJG Sammy & KC Sangakkara,17
JR Hopes & TR Birt,17
B Akhil & Misbah-ul-Haq,17
EJG Morgan & Kuldeep Yadav,17
GJ Maxwell & Gurkeerat Singh,17
A Mishra & SS Tiwary,17
DR Smith & KA Pollard,17
Abdul Samad & PJ Cummins,17
Mandeep Singh & PA Patel,17
GC Smith & MK Pandey,17
A Nortje & Aman Hakim Khan,17
JP Duminy & Z Khan,17
Anmolpreet Singh & SA Yadav,17
AR Patel & KMA Paul,17
KC Cariappa & M Vohra,17
P Dubey & R Ashwin,17
MA Agarwal & P Simran Singh,17
AB de Villiers & Vishnu Vinod,16
Arshad Khan & Ravi Bishnoi,16
WP Saha & YK Pathan,16
PA Patel & UBT Chand,16
RJ Quiney & SA Asnodkar,16
KL Rahul & Y Venugopal Rao,16
JO Holder & V Shankar,16
JO Holder & MP Stoinis,16
S Aravind & TM Head,16
Harpreet Brar & K Rabada,16
K Upadhyay & SPD Smith,16
KD Karthik & Shivam Mavi,16
BJ Hodge & R Tewatia,16
KD Karthik & Sunny Singh,16
Mandeep Singh & SC Ganguly,16
NM Coulter-Nile & SS Tiwary,16
DA Warner & KS Bharat,16
H Klaasen & Sanvir Singh,16
CJ Jordan & M Shahrukh Khan,16
Mohammad Hafeez & Salman Butt,16
Ashutosh Sharma & LS Livingstone,16
A Ashish Reddy & JP Duminy,16
KC Cariappa & Sandeep Sharma,16
PWH de Silva & Shahbaz Ahmed,16
DL Vettori & JJ van der Wath,16
AL Menaria & SP Goswami,16
KS Williamson & Washington Sundar,16
LRPL Taylor & SPD Smith,16
DW Steyn & I Sharma,16
G Gambhir & KM Jadhav,16
STR Binny & Sachin Baby,16
PJ Sangwan & RA Jadeja,16
Jaskaran Singh & RG Sharma,16
P Negi & TM Head,16
MK Pandey & S Dhawan,16
AJ Turner & KH Pandya,16
KV Sharma & Y Venugopal Rao,16
DR Sams & TH David,16
JD Ryder & Yuvraj Singh,16
AS Rajpoot & Mujeeb Ur Rahman,16
NK Patel & YK Pathan,16
PP Chawla & Tilak Varma,16
MA Starc & R Rampaul,16
C de Grandhomme & PA Patel,16
M Muralitharan & S Aravind,16
KL Nagarkoti & RA Tripathi,16
B Lee & RN ten Doeschate,16
R Ashwin & S Anirudha,16
JA Morkel & NM Coulter-Nile,16
A Symonds & AT Rayudu,16
AR Patel & Karanveer Singh,16
CH Gayle & MN van Wyk,16
C de Grandhomme & SA Yadav,16
GB Hogg & PP Chawla,16
B Laughlin & MS Dhoni,16
GB Hogg & RN ten Doeschate,16
IK Pathan & SM Katich,16
B Lee & IK Pathan,16
CR Brathwaite & SS Iyer,16
Sachin Baby & TM Head,16
AR Patel & M Vijay,16
GJ Maxwell & JJ Roy,16
B Akhil & RA Jadeja,16
AD Nath & SK Raina,16
AR Patel & R Ashwin,16
J Arunkumar & S Chanderpaul,16
T Kohli & YK Pathan,16
AR Patel & RR Rossouw,16
DB Ravi Teja & RP Singh,16
A Kumble & R Vinay Kumar,16
BB Samantray & CL White,16
DPMD Jayawardene & WA Mota,16
BCJ Cutting & Bipul Sharma,16
Harpreet Singh & RV Uthappa,16
SR Watson & TM Head,16
Arjun Tendulkar & JP Behrendorff,15
S Gopal & TK Curran,15
CM Gautam & MA Agarwal,15
JH Kallis & Shakib Al Hasan,15
DR Smith & RP Singh,15
CH Morris & MS Dhoni,15
B Kumar & S Kaul,15
N Pooran & Ravi Bishnoi,15
KK Nair & PJ Cummins,15
CJ Jordan & N Pooran,15
BA Stokes & MM Ali,15
S Aravind & YS Chahal,15
DJG Sammy & X Thalaivan Sargunam,15
IK Pathan & S Sohal,15
AJ Finch & AP Tare,15
JP Faulkner & PP Chawla,15
LR Shukla & T Taibu,15
DJ Mitchell & Sameer Rizvi,15
Kuldeep Yadav & UT Yadav,15
CH Morris & TG Southee,15
AM Nayar & R McLaren,15
R Parag & RV Uthappa,15
CA Lynn & NS Naik,15
HC Brook & RA Tripathi,15
PP Chawla & Yuvraj Singh,15
DPMD Jayawardene & UBT Chand,15
Iqbal Abdulla & P Negi,15
C Green & Swapnil Singh,15
MC Henriques & N Pooran,15
KM Jadhav & Mandeep Singh,15
MG Johnson & MM Sharma,15
PP Chawla & UT Yadav,15
A Mishra & K Rabada,15
CA Ingram & MS Wade,15
AB Agarkar & M Morkel,15
MM Patel & RA Jadeja,15
KK Nair & UBT Chand,15
JR Hazlewood & PWH de Silva,15
AD Russell & TG Southee,15
JPR Scantlebury-Searles & Shubman Gill,15
JA Morkel & SB Styris,15
A Mishra & SS Iyer,15
MS Dhoni & Mukesh Choudhary,15
A Mishra & J Theron,15
Mohammad Nabi & WP Saha,15
A Badoni & JD Unadkat,15
DT Christian & Shahbaz Ahmed,15
AT Rayudu & DR Shorey,15
PA Patel & SO Hetmyer,15
Harpreet Singh & P Simran Singh,15
RA Tripathi & S Gopal,15
SP Goswami & V Kohli,15
AT Rayudu & STR Binny,15
B Chipli & V Sehwag,15
DAJ Bracewell & IK Pathan,15
MJ McClenaghan & Yuvraj Singh,15
Arshdeep Singh & R Dhawan,15
AJ Tye & KL Rahul,15
DT Christian & SS Iyer,15
DJ Bravo & KD Karthik,15
AK Markram & B Kumar,15
DS Kulkarni & JC Buttler,15
AD Mascarenhas & PP Chawla,15
AUK Pathan & MA Agarwal,15
DJ Bravo & DL Chahar,15
Gurkeerat Singh & MM Sharma,15
PK Garg & SN Khan,15
A Mishra & A Nehra,15
R Bhatia & SPD Smith,15
KM Jadhav & UT Yadav,15
Shivam Mavi & Shubman Gill,15
MK Pandey & MV Boucher,14
Mohammed Siraj & RJW Topley,14
D Pretorius & Simarjeet Singh,14
MJ Santner & RV Uthappa,14
JJ Roy & Liton Das,14
CR Brathwaite & RR Pant,14
CH Morris & DA Miller,14
AR Patel & Swapnil Singh,14
KS Sharma & Q de Kock,14
RD Gaikwad & SN Thakur,14
KS Williamson & Parvez Rasool,14
KAJ Roach & RG Sharma,14
VVS Laxman & Y Venugopal Rao,14
STR Binny & TG Southee,14
N Rana & Shakib Al Hasan,14
JJ Bumrah & Ramandeep Singh,14
F du Plessis & RA Tripathi,14
NK Patel & SA Asnodkar,14
R Powell & SB Dubey,14
JJ Bumrah & KH Pandya,14
MF Maharoof & MK Tiwary,14
DJ Mitchell & R Ravindra,14
J Arunkumar & MV Boucher,14
HH Pandya & JJ Bumrah,14
DJ Hooda & SV Samson,14
L Ablish & P Kumar,14
K Rabada & P Dubey,14
J Botha & NK Patel,14
N Saini & PC Valthaty,14
J Botha & NV Ojha,14
Bipul Sharma & P Dogra,14
P Negi & SR Watson,14
DT Christian & I Malhotra,14
S Dhawan & Sikandar Raza,14
MS Gony & SK Raina,14
RD Gaikwad & SK Raina,14
CH Gayle & SA Abbott,14
Kuldeep Yadav & Mustafizur Rahman,14
HR Shokeen & N Wadhera,14
R Tewatia & UT Yadav,14
M Rawat & RA Jadeja,14
RR Rossouw & SM Curran,14
AC Gilchrist & R Sathish,14
KM Jadhav & PWH de Silva,14
C de Grandhomme & YK Pathan,14
LRPL Taylor & R Vinay Kumar,14
R Ashwin & T Thushara,14
B Kumar & Bipul Sharma,14
A Manohar & WP Saha,14
KD Karthik & KV Sharma,14
R Bhatia & R McLaren,14
KC Sangakkara & RR Sarwan,14
JM Kemp & SK Raina,14
Anureet Singh & SN Thakur,14
B Kumar & P Kumar,14
DL Chahar & SN Thakur,14
AC Voges & P Dogra,14
AR Patel & I Sharma,14
H Klaasen & K Gowtham,14
CM Gautam & Z Khan,14
Abdur Razzak & R Dravid,14
DB Das & EJG Morgan,14
DA Warner & J Fraser-McGurk,14
DL Chahar & R Bhatia,14
A Mishra & DL Vettori,14
AM Rahane & MM Ali,14
JA Morkel & SS Tiwary,14
A Nehra & M Morkel,14
S Gopal & STR Binny,14
CM Gautam & M Morkel,14
IK Pathan & MC Henriques,14
LS Livingstone & RA Bawa,14
MJ Santner & MS Dhoni,14
AJ Finch & B Indrajith,14
AM Nayar & B Kumar,14
D du Preez & RE van der Merwe,13
CH Gayle & STR Binny,13
AR Bawne & CH Morris,13
RA Jadeja & WP Saha,13
MS Dhoni & N Jagadeesan,13
KV Sharma & Swapnil Singh,13
A Mishra & PD Collingwood,13
C Green & WG Jacks,13
KA Pollard & PP Ojha,13
SH Johnson & UT Yadav,13
MP Stoinis & SPD Smith,13
KS Williamson & Rashid Khan,13
A Mishra & KV Sharma,13
G Gambhir & GJ Maxwell,13
GJ Bailey & NLTC Perera,13
Kartik Tyagi & R Tewatia,13
AS Raut & NV Ojha,13
DA Miller & MM Sharma,13
MM Sharma & VR Aaron,13
CA Ingram & GH Vihari,13
A Mishra & JP Duminy,13
A Mishra & KM Jadhav,13
DJ Mitchell & MS Dhoni,13
AM Rahane & YV Takawale,13
CA Lynn & JP Duminy,13
T Henderson & YK Pathan,13
A Nehra & M Kartik,13
Mandeep Singh & Rahmanullah Gurbaz,13
Bipul Sharma & S Dhawan,13
JJ Bumrah & KA Pollard,13
JJ Bumrah & RD Chahar,13
A Nel & RV Uthappa,13
DT Christian & Washington Sundar,13
Avesh Khan & TA Boult,13
RS Bopara & S Dhawan,13
SP Narine & Shivam Mavi,13
Harbhajan Singh & SM Pollock,13
RR Rossouw & Yuvraj Singh,13
A Mishra & CH Morris,13
Harbhajan Singh & KD Karthik,13
DJ Bravo & SM Pollock,13
HV Patel & Shahbaz Ahmed,13
CJ Jordan & Sachin Baby,13
AK Markram & Sanvir Singh,13
Anureet Singh & MM Sharma,13
A Zampa & TA Boult,13
JP Duminy & S Sohal,13
A Symonds & R Sathish,13
R Sharma & WD Parnell,13
LRPL Taylor & S Chanderpaul,13
PR Shah & YV Takawale,13
B Stanlake & DJ Hooda,13
RV Uthappa & UA Birla,13
AD Russell & IK Pathan,13
J Suchith & RA Tripathi,13
VG Arora & VR Iyer,13
PP Chawla & VS Malik,13
R Sathish & RV Uthappa,13
B Lee & EJG Morgan,13
BB McCullum & P Negi,13
SN Thakur & SP Narine,13
A Ashish Reddy & DT Christian,13
PP Chawla & S Sohal,13
IK Pathan & KV Sharma,13
B Kumar & JO Holder,13
M Morkel & VR Aaron,13
JH Kallis & LR Shukla,13
B Chipli & DW Steyn,13
JP Duminy & SA Yadav,13
PSP Handscomb & SS Tiwary,13
L Wood & PP Chawla,13
AM Nayar & S Dhawan,13
Anirudh Singh & TL Suman,13
CJ Anderson & UBT Chand,13
K Goel & SE Marsh,13
K Gowtham & Naveen-ul-Haq,13
K Gowtham & S Gopal,13
Navdeep Saini & Washington Sundar,13
AC Gilchrist & DJ Hussey,13
AM Nayar & KW Richardson,13
JR Philippe & V Kohli,13
DJG Sammy & DW Steyn,13
AA Chavan & SP Goswami,13
EJG Morgan & RV Uthappa,13
BMAJ Mendis & IK Pathan,13
CJ Jordan & MS Dhoni,13
AA Noffke & P Kumar,12
CRD Fernando & SD Chitnis,12
A Badoni & Swapnil Singh,12
AD Mathews & M Manhas,12
GH Vihari & MC Henriques,12
RP Singh & WPUJC Vaas,12
MJ Santner & RD Gaikwad,12
DPMD Jayawardene & S Nadeem,12
M Ntini & MS Gony,12
Mohammed Siraj & Washington Sundar,12
DH Yagnik & SV Samson,12
HE van der Dussen & TA Boult,12
MK Lomror & R Tewatia,12
M Markande & MJ McClenaghan,12
KJ Abbott & R Dhawan,12
GH Vihari & KV Sharma,12
K Gowtham & N Pooran,12
CL White & P Kumar,12
Harpreet Brar & P Simran Singh,12
AJ Finch & VR Iyer,12
A Ashish Reddy & CL White,12
R Dravid & SA Asnodkar,12
DL Vettori & V Kohli,12
A Nortje & K Rabada,12
DPMD Jayawardene & RV Gomez,12
M Shahrukh Khan & Mohammed Shami,12
CJ Anderson & J Suchith,12
Bipul Sharma & S Sreesanth,12
DR Shorey & M Vijay,12
CA Ingram & SE Rutherford,12
Kuldeep Yadav & TK Curran,12
AS Joseph & B Sai Sudharsan,12
D Padikkal & JE Root,12
P Sahu & Sandeep Sharma,12
RN ten Doeschate & UT Yadav,12
AB de Villiers & CA Pujara,12
KL Nagarkoti & Shubman Gill,12
DB Das & R McLaren,12
DB Ravi Teja & FH Edwards,12
Imran Tahir & KM Jadhav,12
F du Plessis & MK Lomror,12
D Wiese & KM Jadhav,12
DJ Muthuswami & JA Morkel,12
RA Jadeja & TU Deshpande,12
L Balaji & SMSM Senanayake,12
CR Brathwaite & MK Pandey,12
JC Archer & JC Buttler,12
AS Yadav & Y Venugopal Rao,12
PP Chawla & SJ Srivastava,12
DR Smith & MS Dhoni,12
AS Raut & LA Carseldine,12
LA Carseldine & SA Asnodkar,12
N Pooran & S Gopal,12
JP Faulkner & SK Raina,12
KP Pietersen & NV Ojha,12
Harpreet Brar & MC Henriques,12
DA Miller & LH Ferguson,12
JM Bairstow & JM Sharma,12
CH Morris & Gurkeerat Singh,12
KD Karthik & R Vinay Kumar,12
Avesh Khan & PVD Chameera,12
P Negi & S Aravind,12
DW Steyn & LRPL Taylor,12
M Ashwin & TH David,12
Lalit Yadav & TK Curran,12
Dhruv Jurel & JC Buttler,12
Harbhajan Singh & NM Coulter-Nile,12
JO Holder & Q de Kock,12
JO Holder & R Sathish,12
LMP Simmons & MJ McClenaghan,12
E Lewis & PVD Chameera,12
C Munro & YK Pathan,12
HV Patel & RR Rossouw,12
Kuldeep Yadav & LB Williams,12
FY Fazal & P Dogra,12
A Nehra & AM Nayar,12
Kamran Akmal & T Kohli,12
AB de Villiers & HV Patel,12
H Klaasen & PJ Cummins,12
LR Shukla & SC Ganguly,12
LRPL Taylor & RE van der Merwe,12
P Negi & V Kohli,12
KD Karthik & RJ Harris,12
SE Rutherford & SS Iyer,12
KS Williamson & KV Sharma,12
Rashid Khan & S Kaul,12
CH Morris & CR Brathwaite,12
DA Miller & MS Gony,12
Mohammed Shami & Noor Ahmad,12
G Gambhir & R Tewatia,12
Azhar Mahmood & RJ Harris,12
SK Trivedi & SK Warne,12
AT Rayudu & BA Stokes,12
Ankit Sharma & CH Morris,12
KR Mayers & PN Mankad,12
C Green & SS Prabhudessai,12
VR Aaron & YS Chahal,12
A Mishra & Ravi Bishnoi,11
MA Khote & SM Pollock,11
S Kaul & UT Yadav,11
E Lewis & KL Rahul,11
LPC Silva & SB Styris,11
AL Menaria & DH Yagnik,11
P Negi & Y Venugopal Rao,11
D Padikkal & DT Christian,11
AM Rahane & K Gowtham,11
CR Woakes & K Rabada,11
DT Christian & RA Tripathi,11
DPMD Jayawardene & S Sreesanth,11
AM Nayar & SPD Smith,11
M Manhas & NL McCullum,11
KM Jadhav & M Vijay,11
CH Morris & R Ashwin,11
G Gambhir & RN ten Doeschate,11
AM Nayar & MA Khote,11
M Prasidh Krishna & R Parag,11
AD Mathews & AP Majumdar,11
DS Kulkarni & P Kumar,11
CH Morris & DJ Bravo,11
KM Jadhav & UBT Chand,11
KM Jadhav & WD Parnell,11
AM Rahane & MP Stoinis,11
F du Plessis & NLTC Perera,11
AJ Turner & SV Samson,11
Sandeep Sharma & T Natarajan,11
DS Kulkarni & S Gopal,11
AG Murtaza & Harbhajan Singh,11
MM Sharma & SN Thakur,11
DT Christian & MS Gony,11
AJ Finch & N Rana,11
CR Brathwaite & KD Karthik,11
MK Pandey & S Kaul,11
MK Tiwary & S Nadeem,11
Kuldeep Yadav & SN Thakur,11
AD Mascarenhas & AS Raut,11
Shahbaz Ahmed & Washington Sundar,11
Shahid Afridi & VVS Laxman,11
CA Pujara & SS Tiwary,11
M Morkel & SK Trivedi,11
CV Varun & LH Ferguson,11
LS Livingstone & S Dube,11
A Mishra & Z Khan,11
DPMD Jayawardene & M Kaif,11
Azhar Mahmood & R Sathish,11
B Lee & VRV Singh,11
JH Kallis & S Sriram,11
KH Pandya & KR Mayers,11
AB Barath & RS Bopara,11
D du Preez & R Vinay Kumar,11
SA Asnodkar & SK Warne,11
RA Jadeja & SD Chitnis,11
RP Singh & Shahid Afridi,11
J Yadav & KH Pandya,11
DJ Bravo & MA Wood,11
AB Dinda & VR Aaron,11
Gurkeerat Singh & Mandeep Singh,11
KA Pollard & RD Chahar,11
BJ Hodge & KK Cooper,11
SP Jackson & SS Iyer,11
BB Sran & KH Pandya,11
JD Unadkat & K Gowtham,11
GJ Maxwell & R Tewatia,11
JA Morkel & RA Jadeja,11
KC Cariappa & MM Sharma,11
TH David & Vishnu Vinod,11
IK Pathan & RS Sodhi,11
Avesh Khan & Mohsin Khan,11
BB McCullum & DJ Bravo,11
RV Uthappa & SB Wagh,11
AT Rayudu & S Gopal,11
PP Chawla & S Sreesanth,11
MS Bisla & YK Pathan,11
BJ Hodge & Yashpal Singh,11
DH Yagnik & SR Watson,11
PA Patel & VVS Laxman,11
Mohammad Nabi & TH David,11
CA Lynn & Ishan Kishan,11
B Kumar & WD Parnell,11
JM Bairstow & R Dhawan,11
SR Watson & Sohail Tanvir,11
Mandeep Singh & R McLaren,11
Mujeeb Ur Rahman & N Pooran,11
DH Yagnik & OA Shah,11
R Sathish & SL Malinga,11
Q de Kock & SW Billings,10
KV Sharma & V Kohli,10
V Shankar & Virat Singh,10
MM Ali & UT Yadav,10
LR Shukla & RS Gavaskar,10
Azmatullah Omarzai & R Tewatia,10
F du Plessis & Saurav Chauhan,10
H Klaasen & PA Patel,10
S Badree & V Kohli,10
Mandeep Singh & Mujeeb Ur Rahman,10
JC Buttler & P Chopra,10
HV Patel & K Rabada,10
JP Faulkner & KD Karthik,10
PJ Sangwan & R Bhatia,10
NT Ellis & S Dhawan,10
BCJ Cutting & MJ McClenaghan,10
MJ Suthar & V Shankar,10
M Morkel & SK Warne,10
JEC Franklin & R Sathish,10
M Morkel & RA Jadeja,10
K Gowtham & MA Wood,10
DJ Willey & KV Sharma,10
JEC Franklin & SA Yadav,10
F du Plessis & MA Agarwal,10
K Goel & LA Pomersbach,10
DA Miller & R Ashwin,10
M Manhas & WD Parnell,10
HH Pandya & SZ Mulani,10
Ramandeep Singh & Tilak Varma,10
Akash Madhwal & JJ Bumrah,10
DJ Hooda & KK Nair,10
M Rawat & SK Trivedi,10
JD Unadkat & STR Binny,10
RK Singh & SW Billings,10
M Rawat & Sohail Tanvir,10
JJ Bumrah & M Markande,10
AF Milne & V Kohli,10
PK Garg & RR Rossouw,10
AJ Finch & MA Agarwal,10
B Kumar & Fazalhaq Farooqi,10
Kuldeep Yadav & Kumar Kushagra,10
R Sharma & RG Sharma,10
DE Bollinger & SB Jakati,10
JR Hopes & S Nadeem,10
LA Pomersbach & S Sohal,10
DJ Hussey & P Awana,10
R Bhatia & STR Binny,10
Mandeep Singh & SD Chitnis,10
GJ Maxwell & Sachin Baby,10
GC Smith & PC Valthaty,10
AD Russell & Shivam Mavi,10
KD Karthik & T Banton,10
SR Watson & SW Billings,10
A Zampa & SO Hetmyer,10
WA Mota & Yuvraj Singh,10
MR Marsh & PK Garg,10
DJ Hussey & P Dogra,10
Lalit Yadav & R Ashwin,10
EJG Morgan & HM Amla,10
A Mithun & AB de Villiers,10
A Mishra & NLTC Perera,10
AS Raut & FY Fazal,10
PP Ojha & SL Malinga,10
CH Gayle & KM Jadhav,10
Iqbal Abdulla & MK Tiwary,10
KL Rahul & Yuvraj Singh,10
MC Henriques & SC Ganguly,10
CR Brathwaite & PP Chawla,10
NJ Maddinson & V Kohli,10
R Ashwin & SS Tiwary,10
Bipul Sharma & N Saini,10
AR Patel & MK Tiwary,10
DR Smith & MK Pandey,10
DJG Sammy & PA Patel,10
PA Patel & UT Yadav,10
AN Ahmed & HV Patel,10
DJ Bravo & R Sathish,10
Harbhajan Singh & R Dhawan,10
NJ Rimmington & R McLaren,10
KS Sharma & N Pooran,10
GJ Maxwell & TH David,10
A Ashish Reddy & DB Ravi Teja,10
AN Ahmed & VR Aaron,10
AR Patel & Sumit Kumar,10
JEC Franklin & TL Suman,9
Lalit Yadav & T Stubbs,9
Avesh Khan & K Rabada,9
R Bhatia & Shakib Al Hasan,9
BE Hendricks & R Dhawan,9
DL Chahar & SM Curran,9
AM Nayar & P Kumar,9
JM Sharma & Sikandar Raza,9
DW Steyn & NLTC Perera,9
DJ Bravo & R McLaren,9
B Chipli & IR Jaggi,9
MS Wade & V Shankar,9
DJ Hooda & KS Sharma,9
DNT Zoysa & H Das,9
A Symonds & SB Styris,9
LS Livingstone & R Parag,9
LMP Simmons & SS Tiwary,9
Ankit Sharma & DS Kulkarni,9
DJ Bravo & YV Takawale,9
BJ Rohrer & IK Pathan,9
MK Pandey & R Sathish,9
Anuj Rawat & MK Lomror,9
RA Jadeja & SA Asnodkar,9
DJ Bravo & KA Pollard,9
AA Chavan & AL Menaria,9
Ankit Soni & Basil Thampi,9
AJ Turner & AM Rahane,9
R Shepherd & RG Sharma,9
BJ Hodge & Sachin Baby,9
SC Ganguly & SPD Smith,9
Anureet Singh & Karanveer Singh,9
Harbhajan Singh & TG Southee,9
M Kaif & RS Bopara,9
DJ Bravo & SM Curran,9
JP Behrendorff & K Kartikeya,9
RA Tripathi & Shashank Singh,9
AC Thomas & SPD Smith,9
Harbhajan Singh & KH Pandya,9
LR Shukla & M Vijay,9
A Tomar & N Rana,9
Dhruv Jurel & YBK Jaiswal,9
Anmolpreet Singh & TM Head,9
AL Menaria & JDP Oram,9
K Gowtham & SN Khan,9
FY Fazal & SK Warne,9
AS Roy & SP Narine,9
DPMD Jayawardene & J Botha,9
JA Morkel & V Kohli,9
KS Sharma & M Vohra,9
S Nadeem & UT Yadav,9
