pair,partnership_runs
DA Miller & R Sathish,170
RR Pant & V Shankar,170
SE Marsh & WP Saha,170
A Badoni & MP Stoinis,169
DP Conway & MM Ali,169
BJ Hodge & MN van Wyk,168
DA Miller & KL Rahul,168
RK Singh & SN Thakur,167
Ishan Kishan & Tilak Varma,167
AB de Villiers & D Padikkal,167
MC Henriques & Yuvraj Singh,166
EJG Morgan & PJ Cummins,166
D Brevis & RG Sharma,166
AM Rahane & S Dhawan,166
F du Plessis & RA Jadeja,165
RV Uthappa & ST Jayasuriya,165
PA Patel & SP Fleming,164
S Dhawan & WP Saha,164
DA Warner & KL Rahul,164
DJ Hussey & SK Raina,163
SR Watson & V Kohli,163
AM Rahane & UT Khawaja,163
KS Williamson & YK Pathan,163
AT Rayudu & S Dube,163
JEC Franklin & SR Tendulkar,163
BB McCullum & BJ Hodge,163
KS Williamson & V Shankar,162
MM Ali & V Kohli,162
DJ Bravo & JA Morkel,162
B Sai Sudharsan & HH Pandya,161
AM Rahane & SS Tiwary,161
DA Warner & PD Collingwood,160
DJ Jacobs & SR Tendulkar,160
AC Gilchrist & TL Suman,160
MS Wade & Shubman Gill,159
Dhruv Jurel & SV Samson,159
F du Plessis & KD Karthik,159
MK Lomror & V Kohli,158
AB de Villiers & V Sehwag,158
SS Iyer & SW Billings,158
JA Morkel & M Vijay,157
KD Karthik & KP Pietersen,157
AB de Villiers & G Gambhir,157
JP Duminy & SS Tiwary,157
Dhruv Jurel & R Parag,156
AT Rayudu & MM Ali,156
NV Ojha & SR Watson,156
EJG Morgan & G Gambhir,156
A Badoni & KL Rahul,156
CL White & DT Christian,156
M Vijay & MP Stoinis,155
BJ Hodge & STR Binny,155
KL Rahul & MK Pandey,155
AB de Villiers & Q de Kock,155
DA Warner & DPMD Jayawardene,155
EJG Morgan & NV Ojha,154
BB McCullum & RA Jadeja,154
KP Pietersen & R Dravid,154
DA Warner & PD Salt,153
CA Pujara & SC Ganguly,153
RV Uthappa & S Dube,153
MS Dhoni & R Ashwin,153
MR Marsh & RR Pant,153
JP Duminy & Yuvraj Singh,153
BB McCullum & DJ Hussey,153
DJ Bravo & RV Uthappa,152
JC Buttler & R Parag,152
H Klaasen & RA Tripathi,152
KP Pietersen & RV Uthappa,152
MA Agarwal & V Kohli,152
